time,deterioration rate,Pf_comp_0,Pf_comp_1,Pf_comp_2,Pf_comp_3,Pf_comp_4,Pf_comp_5,Pf_comp_6,Pf_comp_7,Pf_comp_8,Pf_comp_9,Pf_comp_10,Pf_system
55.0,19.80735869087643,0.07690299999999999,0.07086199999999998,0.083461,0.07324299999999997,0.05656199999999999,0.05607899999999998,0.007993999999999998,0.008715999999999998,0.05789499999999998,0.07167099999999996,0.12461799999999996,0.511567410737354
56.0,20.350007449630088,0.08513099999999997,0.07822499999999996,0.09202499999999998,0.08106799999999996,0.06312299999999998,0.061720999999999984,0.008861999999999998,0.009912999999999996,0.06379199999999999,0.07904799999999998,0.13613599999999995,0.5479173068344045
57.0,20.89752317579284,0.09535999999999997,0.08788299999999996,0.10271099999999997,0.09100099999999996,0.07195499999999998,0.06920799999999998,0.010211999999999995,0.011639999999999998,0.07150399999999997,0.08830199999999995,0.14975299999999997,0.5906665313127901
58.0,21.44986298441428,0.10728099999999995,0.09903299999999995,0.11495099999999994,0.10253699999999996,0.08233499999999998,0.07795499999999995,0.011928999999999997,0.013754999999999995,0.08040799999999997,0.09909099999999994,0.16517199999999999,0.6356742228219634
59.0,22.006985104615133,0.11932799999999998,0.11038799999999997,0.12748699999999996,0.11410299999999998,0.09275399999999998,0.08672599999999996,0.013634999999999996,0.015750999999999994,0.08928799999999996,0.11006699999999996,0.1807619999999999,0.6765648549922858
60.0,22.568848832169742,0.13174599999999997,0.12230299999999997,0.14026699999999998,0.12618199999999996,0.10426499999999997,0.09611199999999996,0.015442999999999995,0.018017999999999992,0.09872499999999998,0.12128999999999995,0.19676399999999994,0.7149240338875844
61.0,23.1354144848669,0.146871,0.136817,0.15566399999999994,0.14092199999999996,0.11814299999999997,0.10777399999999997,0.018111999999999996,0.021130999999999994,0.11040999999999998,0.13499999999999995,0.2154119999999999,0.7561219479549228
62.0,23.706643360443124,0.16269999999999993,0.15254399999999999,0.17206499999999994,0.15645799999999999,0.13296899999999998,0.12032099999999996,0.02123299999999999,0.02465799999999999,0.12283499999999997,0.14949199999999999,0.23444499999999993,0.7939216385347949
63.0,24.282497696900954,0.17803699999999997,0.16758699999999993,0.18772899999999992,0.17146099999999997,0.14795099999999992,0.13259899999999994,0.024359999999999996,0.028347999999999988,0.13514199999999998,0.16342299999999993,0.25326499999999996,0.8256961027582865
64.0,24.86294063504103,0.19621199999999994,0.18593599999999996,0.20644999999999997,0.18963299999999997,0.165841,0.14824799999999996,0.029111999999999992,0.03366899999999999,0.15014799999999995,0.18036999999999992,0.27452099999999996,0.858257806053655
65.0,25.447936183051795,0.21497299999999991,0.20502599999999996,0.22586399999999993,0.20835299999999993,0.18438499999999994,0.16427699999999995,0.03401099999999999,0.03911299999999999,0.16553399999999996,0.19762299999999994,0.2965219999999999,0.8860233078026852
66.0,26.03744918301364,0.23462199999999991,0.22444799999999995,0.24576699999999993,0.22751799999999991,0.20334299999999994,0.18054899999999993,0.039597999999999994,0.04503999999999999,0.18152999999999994,0.21572499999999994,0.3190889999999999,0.9094945180482482
67.0,26.63144527918658,0.257478,0.24746299999999993,0.26883899999999994,0.2501359999999999,0.22599899999999992,0.20092399999999996,0.04767499999999998,0.05344699999999999,0.20115599999999995,0.23713199999999995,0.3441649999999999,0.9317349517035278
68.0,27.22989088796102,0.2786099999999999,0.26924799999999993,0.2904609999999999,0.2711059999999999,0.24708799999999995,0.21980599999999995,0.054686999999999986,0.06076599999999999,0.2193019999999999,0.25695699999999994,0.36728099999999986,0.9478102846212273
69.0,27.83275316936126,0.30314599999999997,0.2942679999999999,0.31522599999999984,0.2952709999999999,0.2720129999999999,0.24179399999999993,0.06389699999999998,0.07038999999999998,0.24082099999999995,0.27993199999999996,0.3939439999999999,0.9622326310835072
70.0,28.44,0.3313359999999999,0.32333599999999996,0.34388499999999983,0.32316999999999985,0.3008119999999999,0.2674669999999999,0.07488199999999996,0.08182999999999996,0.26555899999999993,0.3063149999999999,0.4244399999999998,0.9743674513029607
